"filename", "language", "Python", "Batch", "pip requirements", "Markdown", "PowerShell", "JSON", "Properties", "JavaScript", "CSS", "reStructuredText", "XML", "C", "comment", "blank", "total"
"c:\GITHUB\SEMINARIO_FINAL\backend\Afectaciones.py", "Python", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 106
"c:\GITHUB\SEMINARIO_FINAL\backend\Files\README_GITHUB_DEVTOENTREGABLE.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\GITHUB\SEMINARIO_FINAL\backend\Files\README_GITHUB_FUSIONAR.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\GITHUB\SEMINARIO_FINAL\backend\Files\README_GITHUB_MERGE.md", "Markdown", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\GITHUB\SEMINARIO_FINAL\backend\Files\README_GITHUB_RAMAS.md", "Markdown", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\GITHUB\SEMINARIO_FINAL\backend\Files\requirements.txt", "pip requirements", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\GITHUB\SEMINARIO_FINAL\backend\Servicios.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 17, 104
"c:\GITHUB\SEMINARIO_FINAL\backend\Simulados.py", "Python", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 136
"c:\GITHUB\SEMINARIO_FINAL\backend\bd\CreateTables.py", "Python", 681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 79, 891
"c:\GITHUB\SEMINARIO_FINAL\backend\bd\Datos.py", "Python", 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 18, 271
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\JsonValidador.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 53
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\alim.json", "JSON", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 80
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\artefactos.json", "JSON", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 1, 83
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\clientes.json", "JSON", 0, 0, 0, 0, 0, 1609, 0, 0, 0, 0, 0, 0, 0, 0, 1609
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\ct.json", "JSON", 0, 0, 0, 0, 0, 36163, 0, 0, 0, 0, 0, 0, 0, 0, 36163
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\diagnostico.json", "JSON", 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 1, 225
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\geografico.json", "JSON", 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 164
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\marcas.json", "JSON", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 109
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\riesgo.json", "JSON", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\ssee.json", "JSON", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 80
"c:\GITHUB\SEMINARIO_FINAL\backend\jsons\usuarios.json", "JSON", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\MarkupSafe-2.1.5.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 29
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\_distutils_hack\__init__.py", "Python", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 52, 223
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\_distutils_hack\override.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\blinker\__init__.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 61
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\blinker\_utilities.py", "Python", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 65
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\blinker\base.py", "Python", 483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 134, 622
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click-8.1.7.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 29
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\__init__.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 74
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\_compat.py", "Python", 458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 127, 624
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\_termui_impl.py", "Python", 546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 120, 740
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\_textwrap.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\_winconsole.py", "Python", 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 54, 280
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\core.py", "Python", 2309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 557, 3043
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\decorators.py", "Python", 418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 131, 562
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\exceptions.py", "Python", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67, 289
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\formatting.py", "Python", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53, 302
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\globals.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 69
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\parser.py", "Python", 369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 89, 530
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\shell_completion.py", "Python", 448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 128, 597
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\termui.py", "Python", 630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 138, 785
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\testing.py", "Python", 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 82, 480
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\click\types.py", "Python", 809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 230, 1090
